,pilot,mp,archetype,deck_uuid,place
656,Chris Dexter,12,Jeskai Oculus,77c6cfc7-8b4d-44d3-9d7e-b2d100e1675d,657
657,STX_MatthewChoy,12,Azorius Omniscience,344bc0eb-fd21-4f9b-b132-b2d00061a7a6,658
658,Quinn Tonole,12,Mono-Red Aggro,88247777-c8d4-46c3-8894-b2d1014c0890,659
659,Saxon Sounakhen,12,Izzet Prowess,f90377a6-da27-4ea3-8fc7-b2d1003cfd01,660
660,Jack Hermsen,12,Zur Overlords,9ccbbe7a-3db0-4faf-85ce-b2d100f36488,661
661,Ian Wark,12,Jeskai Control,0dc28aca-086e-48d6-9db9-b2d1005d7a6a,662
662,Morgan Hillman,12,Gruul Leyline,ed9bdafc-c776-42e2-9332-b2d1008598e0,663
663,Dustin Doing,12,Boros Goblins,c3c4de42-b5a8-48ee-b593-b2ce010d4b65,664
664,Zachary Augustine,12,Jeskai Oculus,216627d1-bb3c-407c-9524-b2d1005240f5,665
665,Kyle Yaroch,12,Azorius Omniscience,67a31cff-027f-4a4d-b032-b2d100e786d6,666
666,Vale Baker,12,Mono-Black Demons,f6be123b-548b-4f7d-b4d5-b2d101540425,667
667,Lucas Berndt,12,Mono-Red Aggro,01ad0fbd-443f-4246-8b46-b2cd018aa767,668
668,gravesjo,12,Azorius Omniscience,cfbf3f50-f5a1-4738-aed7-b2d10168eb0a,669
669,Garrett McClannahan,12,Izzet Prowess,72c2a2f2-d601-4f5a-ac6a-b2d1014f2b85,670
670,William Heise,12,Azorius Omniscience,dafeb052-5524-4651-8ed5-b2d1017195d9,671
671,Nicholas Eadler,12,Izzet Prowess,d6523370-ee76-4ce5-a72b-b2d1015993ae,672
672,Will Harms,12,Zur Overlords,6593a697-a608-4fe2-b33a-b2d100c7702f,673
673,Eamon,12,Mono-Red Aggro,f4f86d03-4b64-41bc-a937-b2d1016df551,674
674,Ryan Botting,12,Jeskai Oculus,9f0b11c5-71df-4bbb-a3b8-b2d10015cbdc,675
675,George Goanos,12,Zur Overlords,b8530aca-5dc2-4909-84c2-b2d00147f522,676
676,Gavin Perry,12,Jeskai Control,d6aa278b-2088-4a27-a468-b2d1012b9fe4,677
677,Joshua Floro,12,Izzet Prowess,a868bf62-d379-42e2-82b6-b2cf015f8749,678
678,historius,12,Jeskai Oculus,9ef99ffb-da86-4140-8871-b2d10060e8e7,679
679,DamianPhyrexian,12,Zur Overlords,75e2db2e-cf10-4677-8a53-b2d10172c236,680
680,Andrew Higgins,12,Izzet Prowess,ca7e7639-59ce-416b-af51-b2d1010c9950,681
681,JayPhx,12,Izzet Prowess,47f0ce76-9bf6-439d-96bd-b2d10124c93d,682
682,Sammpellfb,12,Mono-Red Aggro,fb6606ad-8249-444d-9a54-b2d10154b280,683
683,Paul Graygrove,12,Izzet Prowess,b178f654-8215-49d6-9d91-b2d100cde623,684
684,Hugh Coyne,12,Jeskai Oculus,5637b868-4663-4d9c-831f-b2d0013f32ca,685
685,Kerci,12,Dimir Midrange,22177299-2ddf-4d85-9a19-b2d10137d9ae,686
686,Andres Ramos,12,Orzhov Pixie,53817821-785a-499a-94be-b2d10108355a,687
687,Josh Wentz,12,Izzet Prowess,b54da2c8-cd26-46ce-a5b3-b2cb002aea85,688
688,Amir Momin,12,Izzet Prowess,3012a611-5207-4aa8-a031-b2d10149352c,689
689,Jason Figaro,11,Zur Overlords,c0b6c5b9-ceec-4865-89f3-b2d100133257,690
690,Landon Quick,11,Jeskai Control,166fa126-2ed5-4c69-a6f4-b2d101472555,691
691,Jacob Sloan,10,Zur Overlords,9c689a58-9348-4f66-914c-b2d10159d817,692
692,nsagartz,10,Jeskai Control,a0d122e6-170f-411f-a5e0-b2d10131e727,693
693,turnerbgregory,10,Dimir Midrange,e9dc6bc4-71f6-40e6-a4e2-b2d10174a221,694
694,Justin Schultz,10,Azorius Control,0fc173c4-9b2b-43f3-9105-b2d10139fbd0,695
695,Harrison Fang,10,Izzet Prowess,93286226-8a7f-4c46-8bb4-b2d10163e40b,696
696,crazychickens,10,Azorius Control,7151f246-4cc5-4811-b4d8-b2d0015763f4,697
697,KactusKing,10,Azorius Control,fb4bd8fa-928f-46f0-b93a-b2d10139323e,698
698,Javier Perez Gonzalez,10,Jeskai Control,e3dbe48d-5b88-408d-bafb-b2d1016a3b80,699
699,agbeyer383,10,Orzhov Pixie,adec0e1b-1fb0-454a-944d-b2cf01799537,700
700,Cory Masterman,10,Izzet Prowess,076a776b-ff2e-4eb7-9642-b2d1004c7d6e,701
701,Troubleshot,10,Mono-Black Demons,354b01c6-1b49-464d-b787-b2d101711fde,702
702,Wayland Chan,10,Zur Overlords,d2836b5e-2f38-43c6-9b3c-b2d1012c5e84,703
703,chance ackerson,10,Izzet Prowess,8b39a44d-4f9d-4956-b5c0-b2d1012cea49,704
704,alricksayasavanh,10,Jeskai Control,c415859e-6876-47a9-ac3f-b2d100ed1e11,705
705,Chandler Moreland,10,Esper Pixie,98f7039a-612f-4c14-825e-b2d100f42b3f,706
706,Rummelicious,10,Mono-White Tokens,36278c97-bdbd-48cf-94bf-b2d1014e3196,707
707,Michael Ulep,10,Jeskai Oculus,7a2f3b45-6835-4b79-88b1-b2d10178e9ba,708
708,Austin Hoth,9,Jeskai Oculus,130552d4-5d3c-42bb-a555-b2d1012fce6c,709
709,Colton Gardner,9,Mono-Red Aggro,181caa35-ecb9-45b9-b59e-b2d1015912b7,710
710,Micah Workman,9,Dimir Midrange,7e487a9e-2446-4eb9-883a-b2d00169c717,711
711,Maximilian Sagraves,9,Izzet Prowess,fa284702-8302-4207-ad53-b2d1017a5e8f,712
712,Shaun Bonefas,9,Izzet Prowess,cba1fb51-612c-439d-8ca4-b2d1016f1677,713
713,Mae French,9,Jeskai Oculus,5d1c03b7-672e-4393-86bb-b2d100162481,714
714,DanM35,9,Mono-Red Aggro,cd8f4fe7-86d2-4c1b-a099-b2d000269ef8,715
715,Joshua Collier,9,Izzet Prowess,bb3d9d4f-e66d-423e-97ff-b2d101495f5e,716
716,jango909,9,Esper Pixie,3c1db973-9e45-4d1b-9625-b2d100717309,717
717,Jeffrey Mccoy,9,Azorius Omniscience,5be881d8-fd51-4569-a3a1-b2cf00f6748e,718
718,Eli Mizock,9,Izzet Prowess,aee6d096-512c-44e6-b84e-b2d1014ccd36,719
719,GXC1,9,Mono-Red Aggro,0eebb03a-8de3-477e-be25-b2d000775a16,720
720,Josh James,9,Orzhov Pixie,4023cb43-5115-4fae-b2df-b2d10155f0da,721
721,Michael Bryant,9,Jeskai Oculus,a1cd010c-4e57-46d0-ba1b-b2d10161dad9,722
722,Fred Davis,9,Azorius Omniscience,b4a3a770-f808-4349-a0ec-b2d001640e2d,723
723,mitchhodges25,9,Mono-Red Aggro,03f30dc4-f40b-4527-9451-b2d1003d138b,724
724,NooksCooks,9,Orzhov Pixie,c00ea49f-ddf6-4469-9a2c-b2d101420b4f,725
725,froggidaprince,9,Esper Pixie,e23a6370-65a8-42c9-a295-b2d10015b979,726
726,lukasaarong,9,Izzet Prowess,ed3c52c3-82e7-4dcb-b5ef-b2d1013b91eb,727
727,BrianJRichardson19,9,Azorius Control,42aa5835-29b4-47c6-8fe7-b2d100fa382b,728
728,Vincent Vitanza,9,Jeskai Oculus,2005de49-4ad4-44aa-ac39-b2d1000a2b7e,729
729,John Conroy,9,Esper Pixie,db00e792-9d54-461d-aaf8-b2d001226580,730
730,David Koon,9,Izzet Prowess,ce2bc7e6-a0e8-4d82-8bd2-b2d101533e50,731
731,Bodado,9,Esper Pixie,2cf476bd-c649-43c8-a0a2-b2d1015835fb,732
732,izzetwizard,9,Boros Mice,a85aa3c5-949e-4d65-8818-b2d1016ae7cc,733
733,Alexander Bock,9,Rakdos Aggro,3856b9ca-327e-440e-a141-b2d1016ad62e,734
734,Michael Martin,9,Zur Overlords,26786e4b-cad4-47ee-b155-b2d100c98fc9,735
735,terok,9,Mono-Red Aggro,f9748ddb-6aad-4793-88ec-b2ce001956c6,736
736,Devon O'Donnell,9,Izzet Prowess,272e9291-d938-4154-8603-b2d10033ae00,737
737,Cale5895,9,Jeskai Control,2103e866-2c1d-4159-89ad-b2d10165c03a,738
738,Jon Salazar,9,Zur Overlords,b951aa90-9cbd-4902-9308-b2d001813ae2,739
739,Bruce Liu,9,Azorius Omniscience,4ef7dd8c-b8c8-4eb1-8fd4-b2cc01792a9f,740
740,Cody Propst,9,Mono-Red Aggro,4ceb6c01-b35b-4a60-893b-b2d1014918c9,741
741,Dylan Wlodar,9,Azorius Omniscience,9e7eda3b-dd9d-4237-8679-b2d10143145a,742
742,Brian Boss,9,Izzet Prowess,0b01069e-8e51-48fe-b6c3-b2d100c96001,743
743,Matt Engelbart,9,Izzet Prowess,63ff4c58-cd8f-443b-935a-b2d1014cf9f3,744
744,Raelius,9,Izzet Prowess,ec81a6ee-bbf3-4f16-92d2-b2d1015874c1,745
745,Steven Rorabaugh,9,Jeskai Oculus,ff572f13-3c31-408a-908d-b2d100f26ae1,746
746,Jaron Denham,9,Izzet Prowess,08d2d294-2349-4c4b-87b8-b2d101698c5b,747
747,Joshua Johnston,9,Zur Overlords,2cfdf171-cb64-4508-8ab6-b2d1003a3b33,748
748,Hunter Curtis,9,Jeskai Oculus,26cac53a-eba4-4348-9fa6-b2d1013bb99c,749
749,Dakota Jacobs,9,Abzan Pixie,091cefa7-96fd-430f-812c-b2d101740c1a,750
750,Brad Bonin,9,Izzet Prowess,165eb712-7626-4437-a995-b2d1011cd75d,751
751,Roger Gregory,9,Izzet Prowess,46eb0f92-bfbc-48b6-8d82-b2d0003e67ab,752
752,Lorenzo Rivas,9,Azorius Artifacts,a5279bef-ebfc-41bc-a852-b2d1011d812b,753
753,Chris Luyster,9,Zur Overlords,f6775ecd-c77e-4ad2-bcc3-b2d101414153,754
754,Jonthan6646,9,Gruul Mice,95e8d450-39c5-47e3-851e-b2d000ca559c,755
755,Mason Buonadonna,9,Izzet Prowess,a3d57892-d857-45b4-bbbe-b2d100fbbdd9,756
756,Chris Deeter,9,Izzet Prowess,9a48196f-2fff-431f-b9eb-b2cf001336e8,757
757,Noah Barber,9,Orzhov Pixie,522ab57c-0387-41d4-84e6-b2d001007681,758
758,Francis Kwon,9,Mono-Red Aggro,22757b07-bb21-40f3-a7ef-b2ce01249f9e,759
759,KARL Schultz,9,Izzet Prowess,ce4f4756-aba6-4b1e-b508-b2d1013cb877,760
760,mikew808,9,Mono-Red Aggro,8f0017d1-e366-4293-a399-b2d1002574de,761
761,GobboMucc,9,Orzhov Pixie,2e5c163f-f4c7-4ac5-b93b-b2d100f83eb0,762
762,Kellen907,9,Azorius Omniscience,04da4177-380d-4903-a6fa-b2cf0177e84a,763
763,Bryan McCord,9,Izzet Prowess,77e21421-654c-4aef-9702-b2d101409b0f,764
764,Daniel Sommerfeld,9,Grixis Midrange,eaa6c9e6-f393-4b47-8a0f-b2cd011456ca,765
765,pgyy,9,Orzhov Bounce,8779281f-e1c7-4b72-aba5-b2d1016fc1d8,766
766,Michael Madsen,9,Abzan Pixie,a9b19dd7-999e-4b55-af40-b2d1012d4d77,767
767,Jake Houtz,9,Jeskai Oculus,b1a0eb5a-1f3c-41c3-be40-b2d1016868e7,768
768,Cameron Patey,9,Mono-Red Aggro,cfc101ce-7821-4430-9d57-b2d00104f3d1,769
769,Grant Woodfin,9,Orzhov Pixie,b94112f2-3795-4b02-8f10-b2d100daf55a,770
770,Ethan Welchel,9,Izzet Prowess,87263bfa-4795-415a-bd94-b2d1015340f3,771
771,Anthony Tan,9,Azorius Omniscience,e51d41be-af62-4651-872a-b2ce010fb4cd,772
772,Robert Boyer,9,Selesnya Cage,3976f642-3973-4ed0-962c-b2d10167e57c,773
773,Queen Varrone,9,Boros Aggro,d0c55b1f-981f-4160-af1b-b2cb014ec22b,774
774,sabastian daniels,9,Izzet Prowess,aaaeb775-c1ed-4460-958a-b2d10174fc7e,775
775,Gregory glass,9,Izzet Prowess,f85b2a98-229d-4954-8ed6-b2cf018a7c0e,776
776,Mike Hadley,9,Azorius Control,27ce940f-847a-4290-8645-b2d100cff880,777
777,Brian Kobel,9,Dimir Midrange,1f76032f-478c-4758-8c22-b2d101129bd5,778
778,Tysen Sample,9,Azorius Control,8135fa1c-8aa3-4cb3-9c06-b2d10153a45b,779
779,Will Kollmansberger,9,Izzet Prowess,506ea81a-249c-4081-af81-b2d10151ac8a,780
780,EatsBrownies,9,Izzet Prowess,b837bd63-cb1b-45b6-b358-b2d1005008aa,781
781,Carlo Negrete,9,Jeskai Control,9fd7244b-97d3-4df6-8f99-b2d101610d15,782
782,Aiden Lum,9,Izzet Prowess,f4c4013c-0c46-4529-9efc-b2d101466671,783
783,Luke Deratzou,9,Jeskai Oculus,6d5bc802-899d-43b5-95d2-b2c300f5a711,784
784,Alex Wells,9,Zur Overlords,4689c1a5-3b1c-48dc-958e-b2d0013b2010,785
785,John Hubbard,9,Izzet Prowess,c91fb877-ba8e-45e8-b0f3-b2d10164e909,786
786,Brian Lester,9,Jeskai Control,2c41fcf2-238b-414d-8eea-b2d1001ced06,787
787,JakeBailey,9,Azorius Omniscience,7cbd101c-61eb-4a66-b69f-b2d100e8b205,788
788,NoahW1,9,Boros Aggro,dfc955f1-ce69-4e85-a376-b2d1004729d6,789
789,ChristopherB1,9,Izzet Prowess,d4ecdb9f-b940-40a3-80d4-b2d000e15f42,790
790,Jason Ye,9,Temur Otters,9bdef169-d935-4fb9-b265-b2d1009ae760,791
791,Evan Boyd,9,Mono-Red Aggro,9ba719af-b2e1-4c76-beeb-b2d1004b247e,792
792,Christopher Thomas,9,Izzet Prowess,9b19c399-050b-4f5e-a2b5-b2ce011f3643,793
793,JBOB805,9,Izzet Prowess,62ef55b7-136a-4b7b-95d5-b2d1012ee4fc,794
794,Richard Truswell,9,Izzet Prowess,26de3b7e-4474-439f-92a0-b2d1001459d1,795
795,Lenny Pelletier,9,Mono-Black Demons,20d53d7c-367f-427f-89ad-b2d0003fe3ac,796
796,Steven Pine,9,Izzet Prowess,b81539ee-74d0-419b-95c2-b2d1002eab45,797
797,Ryan Seawell,9,Mono-Red Aggro,cf0b9a31-3720-4a1e-a61c-b2d10022e46a,798
798,Kyle Rehome,9,Jeskai Oculus,b417744f-7aa3-4634-944f-b2d0012e39d1,799
799,Mark Zmolek,9,Zur Overlords,c1c8d2c9-6cbf-490d-8501-b2d10135d10d,800
800,Sophie Schmidt,9,Izzet Prowess,f27033ad-2b36-4fa1-9ef0-b2d100e4db04,801
801,Majortuna,9,Orzhov Control,70f1cd84-e701-4ffd-8fcf-b2c001893440,802
802,Bryan Struckman,9,Gruul Mice,6c0bb8c1-a68b-46a2-9862-b2d101553197,803
803,Beaux Bruggman,9,Zur Overlords,acbd63a9-2900-4356-83ab-b2d001646560,804
804,DrolRaed,9,Rakdos Reanimator,1adcd01a-2cda-4d07-a803-b2d1008c55f9,805
805,DanielM89,9,Golgari Midrange,3bc246cb-4971-4555-adae-b2d10007a4cc,806
806,sshoemaker,9,Izzet Prowess,d1b7c77a-1636-4352-a7a8-b2d100653d89,807
807,PeterWoodruff,9,Gruul Mice,6bcc1d79-0208-4865-bced-b2b200160827,808
808,Zach Flynn,9,Izzet Prowess,72177ca2-94c0-4a8f-aaa8-b2ce013cdd86,809
809,Tk55,9,Zur Overlords,e223cf90-21a6-4be4-a867-b2d00018cc2d,810
810,Jeff Jao,9,Grixis Reanimator,adfab168-5525-4ea0-b5c0-b2b8012dbdcf,811
811,David Banda,9,Zur Overlords,99dcf057-42c1-4203-9db7-b2d1010c686c,812
812,Matthew Takahashi,9,Mono-Red Aggro,475dd938-0d5d-4deb-a9f3-b2d10166b0ac,813
813,Joseph Cruz,9,Azorius Control,980e0140-bd5f-4e83-b573-b2d101463818,814
814,David Kerrigan,9,Izzet Prowess,c1079a49-6d98-48f5-a298-b2d100125644,815
815,Alan Hubbard,9,Orzhov Pixie,dba03c55-bee5-4686-92f5-b2d1016641d2,816
816,Matthew Wright,9,Izzet Prowess,f3e1e288-2d67-4e28-88c2-b2d100f14fcd,817
817,Issac Koehler,9,Orzhov Pixie,938f7744-c752-45fd-9aeb-b2d10041f781,818
818,DerekR,9,Selesnya Aggro,8c70e1ac-de7e-4e6e-8b41-b2d10147fd26,819
819,Shawn Becker,9,Jeskai Oculus,2c8332a4-b26f-4c51-a962-b2d10128309a,820
820,Danny Kekedy,9,Zur Overlords,b65be18d-9e22-4cbc-99c6-b2d10039245a,821
821,Brian Baker,9,Jeskai Oculus,282bce82-789c-46a1-be3b-b2d100cf9b48,822
822,Luke Comeau,9,Izzet Prowess,413f0efe-2b19-4b68-b256-b2d00014ec68,823
823,Patrick Richardson,9,Azorius Omniscience,dbddf629-77cc-4486-a35e-b2d1010a0082,824
824,Josh Hill,9,Azorius Omniscience,f2ea6fc6-76d3-41d0-b685-b2d100fa561e,825
825,BabyRuss,9,Azorius Control,e09d2964-7c37-4a04-8c9f-b2d1016497ba,826
826,Frederick Tan,9,Orzhov Pixie,d5ff488e-3b23-41c2-94c0-b2d100696ffb,827
827,Nitevision,9,Orzhov Pixie,227bdd01-80ec-4bab-8b2b-b2d000181988,828
828,jdotmonte,9,Dimir Control,649b7308-9032-41f4-aea4-b2d100e45f4e,829
829,Jackson King,9,Izzet Prowess,9303013c-597f-4385-bb56-b2d1013001a9,830
830,Shaye Riano,9,Izzet Prowess,7a187f55-e381-4016-b534-b2d10076c698,831
831,Isaiah Tarver,9,Temur Otters,e43f1d4d-2e0e-41aa-8ff9-b2d101448c88,832
832,DannyM,9,Izzet Prowess,31fdd704-3d12-491a-8dcd-b2ba016e543b,833
833,JabberJames,9,Jund Roots,28e6f285-39a1-485d-8e8b-b2d2001a33d4,834
834,Thomas browning,9,Jeskai Control,08601f83-88f8-4aa7-a25d-b2d10152d63f,835
835,Daniel Staup,9,Mono-Black Demons,3970e832-4200-4f7d-848f-b2d000da760c,836
836,Julianne Rice,9,Simic Beanstalk,f328327f-1cba-4756-886d-b2cf00d403d9,837
837,wolfy150117,9,Gruul Leyline,2d5e1b76-b4e7-40ad-b515-b2d1015e0156,838
838,Michael Laracuente,9,Mono-Red Aggro,9c609c42-ffd7-47bd-b5e0-b2d1013d4e89,839
839,Robert Litfin,9,Azorius Control,ff35c33d-b818-4e89-9c11-b2d0018ad9fc,840
840,Isaac Winslett,9,Izzet Prowess,0ca5e049-d525-4a05-8f7b-b2cf012316a1,841
841,Warren Woodward,9,Boros Monument,24fa1551-f5da-4063-b1a3-b2d1014cf681,842
842,Finuve,9,Rakdos Aggro,8e170f32-0bb5-484a-a30f-b2d10143ead4,843
843,Dan Petro,9,Azorius Omniscience,ff878b51-be4b-4fb8-8d8f-b2d100435e38,844
844,Allen Hobson,9,Rakdos Reanimator,f212c920-fda8-4707-9a4d-b2d000362f54,845
845,Chase Fleeman,9,Mono-Red Aggro,449b0bd8-e777-421e-94bc-b2d10165bf8b,846
846,Ryan Arash Marsh,9,Orzhov Pixie,7167d697-b6cb-4f76-a5c2-b2a40159fcef,847
847,Lane Bays-Broils,9,Five-Color Ramp,45ec2669-8261-4182-a73d-b2d1016f3745,848
848,Jdt01381,9,Rakdos Demons,ac1c39f6-8bb6-4810-8290-b2d1003f8282,849
849,Casey Fuste,9,Jeskai Oculus,e041b29d-7d7e-40fa-8eb0-b2cf00fdffa0,850
850,Matthew Eblen,9,Azorius Omniscience,9b755b56-e2b3-40f5-90b5-b2d1015b3a02,851
851,Hunter P,9,Izzet Prowess,5d41c7f6-2304-434c-8625-b2d10130c7ef,852
852,Matthew Riggs,9,Jeskai Oculus,27a9173e-31ee-4395-89f0-b2d0016c556b,853
853,Jeremy Hixson,9,Izzet Prowess,f92a087e-f427-4957-8776-b2d1013a63b6,854
854,Michael Absher,9,Izzet Prowess,11d6496a-cbfa-4fbe-9810-b2d0017aa510,855
855,Kevin Thanakit,9,Esper Bounce,a3b70962-666e-4ef8-ba27-b2d10174113b,856
856,David Frischer,9,Jeskai Oculus,b27c7cbc-167d-4409-8c3f-b2d10122b28e,857
857,Julian Korfine,9,Izzet Prowess,41453ad3-3bc5-4283-a096-b2d10102e2ec,858
858,Ward McKonly,9,Izzet Prowess,f1a42c17-c24f-43e7-85e6-b2d1013e45ff,859
859,Ascicia,9,Mono-Red Aggro,1af1af4e-72c2-4fdb-9b2f-b2d101234e65,860
860,Jim Bishop,9,Izzet Prowess,d4749901-4fb5-4c0f-be46-b2d100e6ffa4,861
861,kowapw14,9,Izzet Prowess,682e6b22-5113-43cc-a167-b2d1005049a3,862
862,CMArebalo,9,Izzet Prowess,6d71de2f-9fad-47fe-9b11-b2d10103416d,863
863,LegendDennin,9,Izzet Prowess,6630be64-c4b8-413c-adc9-b2cf016293aa,864
864,joshuaE,9,Izzet Monument,8cb779b2-736e-4356-87e2-b2d1013e75c8,865
865,Damian Anderkin,9,Izzet Prowess,721bf7f2-5958-4816-bb91-b2d100da481b,866
866,TrashWizardMahon,9,Mono-Red Aggro,959f546a-7495-4895-954a-b2d1016865f0,867
867,Jay T,9,Izzet Prowess,b3e96974-43d0-4a1b-bd6e-b2d1012be034,868
868,Jake Chaimowitz,9,Jeskai Control,6a207cef-5d10-43fa-a8bd-b2cf00439c46,869
869,Davis Toomey,9,Izzet Prowess,034f5fdf-1b66-49c5-9e96-b2d1014cb44e,870
870,Drew Pavelchak,9,Dimir Midrange,658c4216-eb51-492d-8e2a-b2d1005daf7c,871
871,jackson knorr,9,Izzet Prowess,b610ec5f-a162-4546-872f-b2d101772761,872
872,Jack Landes,9,Izzet Prowess,7e63f066-4da6-4104-bbae-b2ce01299084,873
873,op_king,9,Izzet Prowess,638efe1d-c4c7-4e51-9b45-b2cf0121ec3d,874
874,Andy Van Oosten,9,Zur Overlords,85a75751-7d23-4c48-af3b-b2cd0014c6fd,875
875,Joshua Herr,9,Mono-Red Aggro,699f3df4-6ca8-4571-8808-b2d1016e690a,876
876,eggegg,9,Simic Combo,5671997c-1f99-4760-b3eb-b2d100ced5b2,877
877,Ken-Min Yeoh,9,Izzet Prowess,4e35aed1-b863-401a-b75f-b2d0003f98dd,878
878,Kevin Caruso,9,Azorius Omniscience,0f2dd4ca-eff9-4b6e-bd83-b2d00166d1d3,879
879,John Madison Ballington,9,Boros Mice,f04216b8-7214-4576-86f9-b2ce010fd7cd,880
880,Blackmeza1,9,Jeskai Control,702ec563-ae70-47bd-ac20-b2d101711912,881
881,Fierygem454,9,Esper Pixie,d5816ef8-f339-44d5-be6b-b2cf00eadd2e,882
882,Alex Purdy,9,Mono-Red Aggro,7abd8c3e-a6f7-446b-852a-b2d1004db3b0,883
883,Casey Swanson,9,Izzet Prowess,d9b6b35a-b0df-4863-9d30-b2d101204840,884
884,NapLB,9,Jeskai Control,f5cab1c7-0142-44d9-bb08-b2d1002bb1a3,885
885,Kevin Kingsley,9,Mono-Red Aggro,51afd2cf-ec3b-4d30-afa6-b2d1012e1717,886
886,Jacob Lamothe,9,Mono-Red Aggro,19153b58-f4e8-4a81-acf7-b2d101049973,887
887,Miles Failing,9,Azorius Aggro,3d3fb508-cbcc-4cdd-b5ab-b2d0016bfd22,888
888,Derek Fenske,8,Jeskai Control,44f13141-9a08-4571-b5af-b2d100ff1ca2,889
889,Parker Goff,8,Jeskai Oculus,fe3ad83c-c813-4eb2-95d6-b2d10135d20c,890
890,Reed Anderson,8,Zur Overlords,d6e53c66-c3a6-41e8-8078-b2cf002da074,891
891,Jex,8,Izzet Prowess,c30494c3-3b97-486c-adb5-b2cb002fde40,892
892,Diesel,7,Mono-Black Demons,6c337c7f-26bc-4e45-9cd4-b2d000014557,893
893,John Mayes,7,Selesnya Tokens,33c653a8-1514-430f-a4f4-b2d1011c86ce,894
894,Gabriel Maxson,7,Azorius Omniscience,8e13678b-9620-4b5d-a6c6-b2d0005096ee,895
895,Matthew Comeau,7,Jeskai Control,0271b9e8-a1be-42ce-aa99-b2d1004ae417,896
896,Jake Walker,7,Jeskai Control,d37c169e-b94c-4d52-b49f-b2d10152d481,897
897,Diminthus,7,Jeskai Control,8463293a-128e-4404-ac28-b2d0002553de,898
898,Barry Smith,7,Izzet Prowess,a244969b-ac2c-4be4-8964-b2cf0178d98d,899
899,Rotter,7,Zur Overlords,554162bc-78d0-44b3-b80c-b2d101611155,900
900,treyb,7,Azorius Omniscience,43a3e37e-ed2c-4b73-87ca-b2d000f5a127,901
901,Sparky45,7,Jeskai Oculus,0d4acabf-af42-443f-86d9-b2d10163767f,902
902,VastorBanter,7,Dimir Demons,cf65d75c-5b88-492f-b659-b2d000de0613,903
903,Santiago Rubio,7,Mono-Red Aggro,1995fd76-47e7-496a-9c6b-b2d0015b91e0,904
904,Adam Hawthorne,7,Izzet Prowess,7a229d8b-d368-4b7c-802d-b2d1016b70d3,905
905,Stephen Rennie,7,Zur Overlords,951ee611-8b10-4026-8a89-b2d1002a71d4,906
906,EvanQuesnell,6,Izzet Prowess,97e93c27-b148-4f16-bc76-b2d1014470ed,907
907,Crashvh,6,Azorius Omniscience,053d897b-2376-4654-8116-b2d100a0476d,908
908,Gabi Ruiz,6,Izzet Prowess,cf794ad8-863e-45f2-a98c-b2d0012ff43a,909
909,Slax,6,Izzet Prowess,a37564c5-3308-48d4-9cac-b2d1016e37e9,910
910,Brett Cash,6,Mono-Black Demons,cd8734a0-d772-452e-ba1a-b2d101386bb3,911
911,Dylan Bauman,6,Izzet Prowess,e15cf003-0e23-4c49-84d6-b2d1015a94c2,912
912,Daniel Forster,6,Dimir Midrange,245eb02c-0714-4ff9-a9a5-b2d00181871d,913
913,dirk_mathews0263,6,Selesnya Tokens,eccc9c96-5506-4358-baa5-b2d100e2d17b,914
914,Zachary Isom,6,Izzet Prowess,0dc67f13-46fe-4604-824f-b2d10118e0ea,915
915,Juan Perez-Bermejo,6,Azorius Omniscience,5e6db9ba-456b-4b90-8bcd-b2d10166f5f3,916
916,GREG PINO,6,Zur Overlords,787a5ac3-d885-485c-8e3e-b2d101573b9c,917
917,Michael Miller,6,Jeskai Oculus,07958501-2e97-48ce-9c22-b2d00024c370,918
918,Sean Weihe,6,Izzet Prowess,0eb23402-cc89-4371-a4e6-b2d1015529b5,919
919,Joshua Hess,6,Izzet Prowess,16a32dbc-7271-44d0-ab0a-b2d00007b4fc,920
920,Ryan Heuer,6,Izzet Prowess,53de312c-311c-408b-8793-b2d10149f59e,921
921,Andrew Murley,6,Mono-Red Aggro,99afe2aa-9f83-49e3-855c-b2d1013075e8,922
922,Fanchen Yang,6,Azorius Omniscience,08c0122a-a569-451b-993c-b2b1011c65b6,923
923,Nathan Fursa,6,Azorius Omniscience,67a0a49e-378d-4008-9bc5-b2d101557823,924
924,Carson Lewis,6,Izzet Prowess,0d326e61-f246-4340-a882-b2d101791cb7,925
925,sblack,6,Esper Pixie,d29b2926-e255-4d6c-88bb-b2d10159ce00,926
926,LorenzoDePasquale,6,Azorius Omniscience,96515f74-52dd-45df-8f97-b2d10148f0ea,927
927,Nick Cowden,6,Sultai Beanstalk,aee69b2f-4cba-475f-8cf0-b2d10137abe5,928
928,Rkthechosen1,6,Grixis Bounce,a8542b62-71de-4fff-a4b6-b2c2000ffa7f,929
929,Chris Donaldson,6,Izzet Prowess,59682a8e-e379-42f2-bde8-b2d0015a534d,930
930,JPG520,6,Gruul Mice,9506e171-63ad-4647-9eff-b2d101690cb9,931
931,Josh Czopek,6,Izzet Prowess,37481b6b-f74d-4682-9a1d-b2d10146e068,932
932,Mark DeMonbreun,6,Mono-Red Aggro,1f0331af-4972-41b1-a7df-b2d0011836ff,933
933,Kougadm,6,Izzet Prowess,63dd0b07-ab48-422b-8975-b2d101647078,934
934,Austin Sorscher,6,Mono-Red Aggro,246b373b-3775-44ec-a30b-b2d101672584,935
