,pilot,archetype,card,total,loc
0,"Miller, Casey",Jeskai Control,"Beza, the Bounding Spring",4,main
1,"Miller, Casey",Jeskai Control,Cori Mountain Monastery,1,main
2,"Miller, Casey",Jeskai Control,Day of Judgment,1,main
3,"Miller, Casey",Jeskai Control,Dispelling Exhale,2,main
4,"Miller, Casey",Jeskai Control,Lightning Helix,4,main
5,"Miller, Casey",Jeskai Control,Floodfarm Verge,4,main
6,"Miller, Casey",Jeskai Control,Marang River Regent // Coil and Catch,2,main
7,"Miller, Casey",Jeskai Control,Sunbillow Verge,4,main
8,"Miller, Casey",Jeskai Control,Riverpyre Verge,2,main
9,"Miller, Casey",Jeskai Control,Island,1,main
10,"Miller, Casey",Jeskai Control,Split Up,1,main
11,"Miller, Casey",Jeskai Control,"Shiko, Paragon of the Way",4,main
12,"Miller, Casey",Jeskai Control,Stock Up,4,main
13,"Miller, Casey",Jeskai Control,Temporary Lockdown,4,main
14,"Miller, Casey",Jeskai Control,Three Steps Ahead,2,main
15,"Miller, Casey",Jeskai Control,Thundering Falls,3,main
16,"Miller, Casey",Jeskai Control,Plains,3,main
17,"Miller, Casey",Jeskai Control,Mistrise Village,1,main
18,"Miller, Casey",Jeskai Control,Get Lost,3,main
19,"Miller, Casey",Jeskai Control,Parting Gust,1,main
20,"Miller, Casey",Jeskai Control,Roiling Dragonstorm,2,main
21,"Miller, Casey",Jeskai Control,Meticulous Archive,4,main
22,"Miller, Casey",Jeskai Control,Elegant Parlor,3,main
23,"Miller, Casey",Jeskai Control,Zurgo and Ojutai,1,side
24,"Miller, Casey",Jeskai Control,Lithomantic Barrage,2,side
25,"Miller, Casey",Jeskai Control,Obstinate Baloth,2,side
26,"Miller, Casey",Jeskai Control,Kutzil's Flanker,3,side
27,"Miller, Casey",Jeskai Control,Tishana's Tidebinder,2,side
28,"Miller, Casey",Jeskai Control,Negate,2,side
29,"Miller, Casey",Jeskai Control,Exorcise,1,side
30,"Miller, Casey",Jeskai Control,Pyroclasm,1,side
31,"Miller, Casey",Jeskai Control,Authority of the Consuls,1,side
0,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Spell Pierce,2,main
1,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Spirebluff Canal,4,main
2,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Glacial Dragonhunt,1,main
3,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Marauding Mako,4,main
4,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Abhorrent Oculus,4,main
5,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Fear of Missing Out,4,main
6,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Inspiring Vantage,4,main
7,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Adarkar Wastes,2,main
8,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Steamcore Scholar,4,main
9,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Proft's Eidetic Memory,4,main
10,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Into the Flood Maw,1,main
11,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Island,1,main
12,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Battlefield Forge,2,main
13,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Shivan Reef,4,main
14,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Seachrome Coast,4,main
15,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Mountain,1,main
16,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Torch the Tower,3,main
17,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Helping Hand,4,main
18,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Tersa Lightshatter,2,main
19,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Spyglass Siren,2,main
20,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Abrade,1,main
21,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Sheltered by Ghosts,1,main
22,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Winternight Stories,1,main
23,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Destroy Evil,2,side
24,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Sheltered by Ghosts,1,side
25,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Ghost Vacuum,2,side
26,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Get Lost,1,side
27,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Disdainful Stroke,1,side
28,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Winternight Stories,1,side
29,"DeBenedetto-Plummer, Michael",Jeskai Oculus,No More Lies,1,side
30,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Loran of the Third Path,1,side
31,"DeBenedetto-Plummer, Michael",Jeskai Oculus,The Filigree Sylex,2,side
32,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Abrade,1,side
33,"DeBenedetto-Plummer, Michael",Jeskai Oculus,Negate,1,side
34,"DeBenedetto-Plummer, Michael",Jeskai Oculus,"Ral, Crackling Wit",1,side
0,"Parente, Justin",Izzet Prowess,Burst Lightning,3,main
1,"Parente, Justin",Izzet Prowess,Cori-Steel Cutter,4,main
2,"Parente, Justin",Izzet Prowess,Drake Hatcher,2,main
3,"Parente, Justin",Izzet Prowess,Into the Flood Maw,3,main
4,"Parente, Justin",Izzet Prowess,Island,5,main
5,"Parente, Justin",Izzet Prowess,Monastery Swiftspear,4,main
6,"Parente, Justin",Izzet Prowess,Monstrous Rage,4,main
7,"Parente, Justin",Izzet Prowess,Mountain,4,main
8,"Parente, Justin",Izzet Prowess,Opt,4,main
9,"Parente, Justin",Izzet Prowess,Riverpyre Verge,4,main
10,"Parente, Justin",Izzet Prowess,Shivan Reef,4,main
11,"Parente, Justin",Izzet Prowess,Sleight of Hand,4,main
12,"Parente, Justin",Izzet Prowess,Slickshot Show-Off,2,main
13,"Parente, Justin",Izzet Prowess,Spirebluff Canal,4,main
14,"Parente, Justin",Izzet Prowess,Stock Up,4,main
15,"Parente, Justin",Izzet Prowess,Stormchaser's Talent,4,main
16,"Parente, Justin",Izzet Prowess,Spell Pierce,1,main
17,"Parente, Justin",Izzet Prowess,Abrade,2,side
18,"Parente, Justin",Izzet Prowess,Drake Hatcher,1,side
19,"Parente, Justin",Izzet Prowess,Ghost Vacuum,2,side
20,"Parente, Justin",Izzet Prowess,"Ral, Crackling Wit",2,side
21,"Parente, Justin",Izzet Prowess,Spell Pierce,2,side
22,"Parente, Justin",Izzet Prowess,Torch the Tower,2,side
23,"Parente, Justin",Izzet Prowess,Lithomantic Barrage,1,side
24,"Parente, Justin",Izzet Prowess,Disdainful Stroke,1,side
25,"Parente, Justin",Izzet Prowess,Witchstalker Frenzy,1,side
26,"Parente, Justin",Izzet Prowess,Obliterating Bolt,1,side
0,"Johnson, Gregory",Azorius Omniscience,Abuelo's Awakening,4,main
1,"Johnson, Gregory",Azorius Omniscience,Adarkar Wastes,3,main
2,"Johnson, Gregory",Azorius Omniscience,Blast Zone,1,main
3,"Johnson, Gregory",Azorius Omniscience,Cavern of Souls,1,main
4,"Johnson, Gregory",Azorius Omniscience,Confounding Riddle,2,main
5,"Johnson, Gregory",Azorius Omniscience,Ephara's Dispersal,3,main
6,"Johnson, Gregory",Azorius Omniscience,Fallaji Archaeologist,1,main
7,"Johnson, Gregory",Azorius Omniscience,Floodfarm Verge,4,main
8,"Johnson, Gregory",Azorius Omniscience,Founding the Third Path,1,main
9,"Johnson, Gregory",Azorius Omniscience,Island,5,main
10,"Johnson, Gregory",Azorius Omniscience,Marang River Regent // Coil and Catch,4,main
11,"Johnson, Gregory",Azorius Omniscience,Meticulous Archive,4,main
12,"Johnson, Gregory",Azorius Omniscience,Moment of Truth,4,main
13,"Johnson, Gregory",Azorius Omniscience,Omniscience,4,main
14,"Johnson, Gregory",Azorius Omniscience,Plains,3,main
15,"Johnson, Gregory",Azorius Omniscience,Roiling Dragonstorm,4,main
16,"Johnson, Gregory",Azorius Omniscience,Seachrome Coast,3,main
17,"Johnson, Gregory",Azorius Omniscience,Spell Pierce,1,main
18,"Johnson, Gregory",Azorius Omniscience,Stock Up,3,main
19,"Johnson, Gregory",Azorius Omniscience,Temporary Lockdown,4,main
20,"Johnson, Gregory",Azorius Omniscience,Voice of Victory,1,main
21,"Johnson, Gregory",Azorius Omniscience,"Beza, the Bounding Spring",2,side
22,"Johnson, Gregory",Azorius Omniscience,Cathar Commando,1,side
23,"Johnson, Gregory",Azorius Omniscience,Change the Equation,2,side
24,"Johnson, Gregory",Azorius Omniscience,Clarion Conqueror,2,side
25,"Johnson, Gregory",Azorius Omniscience,Get Lost,2,side
26,"Johnson, Gregory",Azorius Omniscience,Grand Abolisher,2,side
27,"Johnson, Gregory",Azorius Omniscience,Negate,1,side
28,"Johnson, Gregory",Azorius Omniscience,Overlord of the Mistmoors,2,side
29,"Johnson, Gregory",Azorius Omniscience,Day of Judgment,1,side
0,"Nicholas, Gabriel",Jeskai Oculus,Abhorrent Oculus,4,main
1,"Nicholas, Gabriel",Jeskai Oculus,Adarkar Wastes,2,main
2,"Nicholas, Gabriel",Jeskai Oculus,Battlefield Forge,1,main
3,"Nicholas, Gabriel",Jeskai Oculus,Fear of Missing Out,4,main
4,"Nicholas, Gabriel",Jeskai Oculus,Glacial Dragonhunt,2,main
5,"Nicholas, Gabriel",Jeskai Oculus,Helping Hand,4,main
6,"Nicholas, Gabriel",Jeskai Oculus,Inspiring Vantage,4,main
7,"Nicholas, Gabriel",Jeskai Oculus,"Inti, Seneschal of the Sun",1,main
8,"Nicholas, Gabriel",Jeskai Oculus,Island,1,main
9,"Nicholas, Gabriel",Jeskai Oculus,Marauding Mako,3,main
10,"Nicholas, Gabriel",Jeskai Oculus,Mountain,1,main
11,"Nicholas, Gabriel",Jeskai Oculus,Proft's Eidetic Memory,4,main
12,"Nicholas, Gabriel",Jeskai Oculus,Restless Anchorage,1,main
13,"Nicholas, Gabriel",Jeskai Oculus,Seachrome Coast,4,main
14,"Nicholas, Gabriel",Jeskai Oculus,Sheltered by Ghosts,1,main
15,"Nicholas, Gabriel",Jeskai Oculus,Shivan Reef,4,main
16,"Nicholas, Gabriel",Jeskai Oculus,Spell Pierce,2,main
17,"Nicholas, Gabriel",Jeskai Oculus,Spirebluff Canal,4,main
18,"Nicholas, Gabriel",Jeskai Oculus,Spyglass Siren,2,main
19,"Nicholas, Gabriel",Jeskai Oculus,Steamcore Scholar,4,main
20,"Nicholas, Gabriel",Jeskai Oculus,Tersa Lightshatter,2,main
21,"Nicholas, Gabriel",Jeskai Oculus,Torch the Tower,4,main
22,"Nicholas, Gabriel",Jeskai Oculus,Winternight Stories,1,main
23,"Nicholas, Gabriel",Jeskai Oculus,Pyroclasm,1,side
24,"Nicholas, Gabriel",Jeskai Oculus,Abrade,1,side
25,"Nicholas, Gabriel",Jeskai Oculus,No More Lies,1,side
26,"Nicholas, Gabriel",Jeskai Oculus,Exorcise,1,side
27,"Nicholas, Gabriel",Jeskai Oculus,"Chandra, Spark Hunter",2,side
28,"Nicholas, Gabriel",Jeskai Oculus,Destroy Evil,2,side
29,"Nicholas, Gabriel",Jeskai Oculus,Disdainful Stroke,1,side
30,"Nicholas, Gabriel",Jeskai Oculus,Ghost Vacuum,2,side
31,"Nicholas, Gabriel",Jeskai Oculus,Loran of the Third Path,1,side
32,"Nicholas, Gabriel",Jeskai Oculus,Negate,1,side
33,"Nicholas, Gabriel",Jeskai Oculus,Sheltered by Ghosts,2,side
0,"Wang, Jennifer",Azorius Omniscience,Abuelo's Awakening,4,main
1,"Wang, Jennifer",Azorius Omniscience,Adarkar Wastes,3,main
2,"Wang, Jennifer",Azorius Omniscience,Blast Zone,2,main
3,"Wang, Jennifer",Azorius Omniscience,Change the Equation,1,main
4,"Wang, Jennifer",Azorius Omniscience,Ephara's Dispersal,3,main
5,"Wang, Jennifer",Azorius Omniscience,Fabled Passage,1,main
6,"Wang, Jennifer",Azorius Omniscience,Floodfarm Verge,4,main
7,"Wang, Jennifer",Azorius Omniscience,Founding the Third Path,1,main
8,"Wang, Jennifer",Azorius Omniscience,Island,4,main
9,"Wang, Jennifer",Azorius Omniscience,Marang River Regent // Coil and Catch,4,main
10,"Wang, Jennifer",Azorius Omniscience,Meticulous Archive,4,main
11,"Wang, Jennifer",Azorius Omniscience,Mistrise Village,1,main
12,"Wang, Jennifer",Azorius Omniscience,Moment of Truth,4,main
13,"Wang, Jennifer",Azorius Omniscience,No More Lies,1,main
14,"Wang, Jennifer",Azorius Omniscience,Omniscience,4,main
15,"Wang, Jennifer",Azorius Omniscience,Plains,2,main
16,"Wang, Jennifer",Azorius Omniscience,Roiling Dragonstorm,4,main
17,"Wang, Jennifer",Azorius Omniscience,Scrollshift,1,main
18,"Wang, Jennifer",Azorius Omniscience,Seachrome Coast,2,main
19,"Wang, Jennifer",Azorius Omniscience,Spell Pierce,2,main
20,"Wang, Jennifer",Azorius Omniscience,Stock Up,4,main
21,"Wang, Jennifer",Azorius Omniscience,Temporary Lockdown,4,main
22,"Wang, Jennifer",Azorius Omniscience,"Beza, the Bounding Spring",2,side
23,"Wang, Jennifer",Azorius Omniscience,Change the Equation,1,side
24,"Wang, Jennifer",Azorius Omniscience,Clarion Conqueror,1,side
25,"Wang, Jennifer",Azorius Omniscience,Day of Judgment,1,side
26,"Wang, Jennifer",Azorius Omniscience,Defabricate,1,side
27,"Wang, Jennifer",Azorius Omniscience,Elspeth's Smite,1,side
28,"Wang, Jennifer",Azorius Omniscience,Negate,1,side
29,"Wang, Jennifer",Azorius Omniscience,Overlord of the Mistmoors,2,side
30,"Wang, Jennifer",Azorius Omniscience,Soul Partition,2,side
31,"Wang, Jennifer",Azorius Omniscience,The Stone Brain,1,side
32,"Wang, Jennifer",Azorius Omniscience,Voice of Victory,2,side
0,"Durish, Jacob",Izzet Prowess,Burst Lightning,4,main
1,"Durish, Jacob",Izzet Prowess,Cori-Steel Cutter,4,main
2,"Durish, Jacob",Izzet Prowess,Drake Hatcher,2,main
3,"Durish, Jacob",Izzet Prowess,Into the Flood Maw,3,main
4,"Durish, Jacob",Izzet Prowess,Island,5,main
5,"Durish, Jacob",Izzet Prowess,Monastery Swiftspear,4,main
6,"Durish, Jacob",Izzet Prowess,Monstrous Rage,4,main
7,"Durish, Jacob",Izzet Prowess,Mountain,4,main
8,"Durish, Jacob",Izzet Prowess,Opt,4,main
9,"Durish, Jacob",Izzet Prowess,Riverpyre Verge,4,main
10,"Durish, Jacob",Izzet Prowess,Shivan Reef,4,main
11,"Durish, Jacob",Izzet Prowess,Sleight of Hand,4,main
12,"Durish, Jacob",Izzet Prowess,Slickshot Show-Off,2,main
13,"Durish, Jacob",Izzet Prowess,Spirebluff Canal,4,main
14,"Durish, Jacob",Izzet Prowess,Stock Up,4,main
15,"Durish, Jacob",Izzet Prowess,Stormchaser's Talent,4,main
16,"Durish, Jacob",Izzet Prowess,Abrade,1,side
17,"Durish, Jacob",Izzet Prowess,Drake Hatcher,1,side
18,"Durish, Jacob",Izzet Prowess,Ghost Vacuum,2,side
19,"Durish, Jacob",Izzet Prowess,Into the Flood Maw,1,side
20,"Durish, Jacob",Izzet Prowess,Negate,1,side
21,"Durish, Jacob",Izzet Prowess,Pyroclasm,1,side
22,"Durish, Jacob",Izzet Prowess,"Ral, Crackling Wit",2,side
23,"Durish, Jacob",Izzet Prowess,Spell Pierce,2,side
24,"Durish, Jacob",Izzet Prowess,Torch the Tower,2,side
25,"Durish, Jacob",Izzet Prowess,Unable to Scream,1,side
26,"Durish, Jacob",Izzet Prowess,Witchstalker Frenzy,1,side
0,"Stechman, Tyler",Azorius Omniscience,Marang River Regent // Coil and Catch,4,main
1,"Stechman, Tyler",Azorius Omniscience,Spell Pierce,1,main
2,"Stechman, Tyler",Azorius Omniscience,Abuelo's Awakening,4,main
3,"Stechman, Tyler",Azorius Omniscience,Stock Up,4,main
4,"Stechman, Tyler",Azorius Omniscience,Omniscience,4,main
5,"Stechman, Tyler",Azorius Omniscience,Temporary Lockdown,4,main
6,"Stechman, Tyler",Azorius Omniscience,Moment of Truth,4,main
7,"Stechman, Tyler",Azorius Omniscience,Ephara's Dispersal,3,main
8,"Stechman, Tyler",Azorius Omniscience,Roiling Dragonstorm,4,main
9,"Stechman, Tyler",Azorius Omniscience,Founding the Third Path,1,main
10,"Stechman, Tyler",Azorius Omniscience,Refute,1,main
11,"Stechman, Tyler",Azorius Omniscience,Thundertrap Trainer,1,main
12,"Stechman, Tyler",Azorius Omniscience,Meticulous Archive,4,main
13,"Stechman, Tyler",Azorius Omniscience,Seachrome Coast,3,main
14,"Stechman, Tyler",Azorius Omniscience,Floodfarm Verge,4,main
15,"Stechman, Tyler",Azorius Omniscience,Adarkar Wastes,3,main
16,"Stechman, Tyler",Azorius Omniscience,Mistrise Village,1,main
17,"Stechman, Tyler",Azorius Omniscience,Blast Zone,1,main
18,"Stechman, Tyler",Azorius Omniscience,Island,3,main
19,"Stechman, Tyler",Azorius Omniscience,Plains,2,main
20,"Stechman, Tyler",Azorius Omniscience,Get Lost,1,main
21,"Stechman, Tyler",Azorius Omniscience,Confounding Riddle,1,main
22,"Stechman, Tyler",Azorius Omniscience,Fabled Passage,1,main
23,"Stechman, Tyler",Azorius Omniscience,Cavern of Souls,1,main
24,"Stechman, Tyler",Azorius Omniscience,Spell Pierce,1,side
25,"Stechman, Tyler",Azorius Omniscience,Get Lost,2,side
26,"Stechman, Tyler",Azorius Omniscience,Cathar Commando,1,side
27,"Stechman, Tyler",Azorius Omniscience,Clarion Conqueror,2,side
28,"Stechman, Tyler",Azorius Omniscience,Overlord of the Mistmoors,2,side
29,"Stechman, Tyler",Azorius Omniscience,Change the Equation,2,side
30,"Stechman, Tyler",Azorius Omniscience,"Beza, the Bounding Spring",2,side
31,"Stechman, Tyler",Azorius Omniscience,Voice of Victory,2,side
32,"Stechman, Tyler",Azorius Omniscience,Defabricate,1,side
0,"Nguyen, Minh",Jeskai Oculus,Abhorrent Oculus,4,main
1,"Nguyen, Minh",Jeskai Oculus,Inspiring Vantage,4,main
2,"Nguyen, Minh",Jeskai Oculus,Battlefield Forge,1,main
3,"Nguyen, Minh",Jeskai Oculus,Fear of Missing Out,4,main
4,"Nguyen, Minh",Jeskai Oculus,Glacial Dragonhunt,3,main
5,"Nguyen, Minh",Jeskai Oculus,Helping Hand,4,main
6,"Nguyen, Minh",Jeskai Oculus,Seachrome Coast,4,main
7,"Nguyen, Minh",Jeskai Oculus,Mountain,1,main
8,"Nguyen, Minh",Jeskai Oculus,Marauding Mako,4,main
9,"Nguyen, Minh",Jeskai Oculus,Island,1,main
10,"Nguyen, Minh",Jeskai Oculus,Proft's Eidetic Memory,4,main
11,"Nguyen, Minh",Jeskai Oculus,Restless Anchorage,1,main
12,"Nguyen, Minh",Jeskai Oculus,Steamcore Scholar,4,main
13,"Nguyen, Minh",Jeskai Oculus,Spirebluff Canal,4,main
14,"Nguyen, Minh",Jeskai Oculus,Spell Pierce,2,main
15,"Nguyen, Minh",Jeskai Oculus,Spyglass Siren,2,main
16,"Nguyen, Minh",Jeskai Oculus,Shivan Reef,4,main
17,"Nguyen, Minh",Jeskai Oculus,Tersa Lightshatter,2,main
18,"Nguyen, Minh",Jeskai Oculus,Torch the Tower,4,main
19,"Nguyen, Minh",Jeskai Oculus,Abrade,1,main
20,"Nguyen, Minh",Jeskai Oculus,Adarkar Wastes,2,main
21,"Nguyen, Minh",Jeskai Oculus,Destroy Evil,2,side
22,"Nguyen, Minh",Jeskai Oculus,Disdainful Stroke,1,side
23,"Nguyen, Minh",Jeskai Oculus,Ghost Vacuum,2,side
24,"Nguyen, Minh",Jeskai Oculus,Negate,1,side
25,"Nguyen, Minh",Jeskai Oculus,Sheltered by Ghosts,2,side
26,"Nguyen, Minh",Jeskai Oculus,High Noon,2,side
27,"Nguyen, Minh",Jeskai Oculus,Abrade,1,side
28,"Nguyen, Minh",Jeskai Oculus,"Chandra, Spark Hunter",2,side
29,"Nguyen, Minh",Jeskai Oculus,Loran of the Third Path,1,side
30,"Nguyen, Minh",Jeskai Oculus,The Filigree Sylex,1,side
0,"Xu, Matt",Izzet Prowess,Stormchaser's Talent,4,main
1,"Xu, Matt",Izzet Prowess,Riverpyre Verge,4,main
2,"Xu, Matt",Izzet Prowess,Monastery Swiftspear,4,main
3,"Xu, Matt",Izzet Prowess,Monstrous Rage,4,main
4,"Xu, Matt",Izzet Prowess,Spirebluff Canal,4,main
5,"Xu, Matt",Izzet Prowess,Spell Pierce,1,main
6,"Xu, Matt",Izzet Prowess,Into the Flood Maw,2,main
7,"Xu, Matt",Izzet Prowess,Mountain,4,main
8,"Xu, Matt",Izzet Prowess,Shivan Reef,4,main
9,"Xu, Matt",Izzet Prowess,Cori-Steel Cutter,4,main
10,"Xu, Matt",Izzet Prowess,Sleight of Hand,4,main
11,"Xu, Matt",Izzet Prowess,Slickshot Show-Off,4,main
12,"Xu, Matt",Izzet Prowess,Opt,4,main
13,"Xu, Matt",Izzet Prowess,Stock Up,4,main
14,"Xu, Matt",Izzet Prowess,Burst Lightning,4,main
15,"Xu, Matt",Izzet Prowess,Thundering Falls,1,main
16,"Xu, Matt",Izzet Prowess,Island,4,main
17,"Xu, Matt",Izzet Prowess,Sunspine Lynx,2,side
18,"Xu, Matt",Izzet Prowess,Drake Hatcher,2,side
19,"Xu, Matt",Izzet Prowess,Into the Flood Maw,1,side
20,"Xu, Matt",Izzet Prowess,Torch the Tower,3,side
21,"Xu, Matt",Izzet Prowess,Ghost Vacuum,2,side
22,"Xu, Matt",Izzet Prowess,Spell Pierce,1,side
23,"Xu, Matt",Izzet Prowess,"Ral, Crackling Wit",1,side
24,"Xu, Matt",Izzet Prowess,Lithomantic Barrage,1,side
25,"Xu, Matt",Izzet Prowess,Screaming Nemesis,1,side
26,"Xu, Matt",Izzet Prowess,Witchstalker Frenzy,1,side
0,"Sainz, Raymond",Izzet Prowess,Burst Lightning,3,main
1,"Sainz, Raymond",Izzet Prowess,Cori-Steel Cutter,4,main
2,"Sainz, Raymond",Izzet Prowess,Into the Flood Maw,2,main
3,"Sainz, Raymond",Izzet Prowess,Island,5,main
4,"Sainz, Raymond",Izzet Prowess,Monastery Swiftspear,4,main
5,"Sainz, Raymond",Izzet Prowess,Mountain,4,main
6,"Sainz, Raymond",Izzet Prowess,Opt,4,main
7,"Sainz, Raymond",Izzet Prowess,Riverpyre Verge,4,main
8,"Sainz, Raymond",Izzet Prowess,Shivan Reef,4,main
9,"Sainz, Raymond",Izzet Prowess,Sleight of Hand,4,main
10,"Sainz, Raymond",Izzet Prowess,Slickshot Show-Off,2,main
11,"Sainz, Raymond",Izzet Prowess,Spirebluff Canal,4,main
12,"Sainz, Raymond",Izzet Prowess,Stock Up,4,main
13,"Sainz, Raymond",Izzet Prowess,Stormchaser's Talent,4,main
14,"Sainz, Raymond",Izzet Prowess,Monstrous Rage,4,main
15,"Sainz, Raymond",Izzet Prowess,Drake Hatcher,2,main
16,"Sainz, Raymond",Izzet Prowess,Torch the Tower,2,main
17,"Sainz, Raymond",Izzet Prowess,Abrade,1,side
18,"Sainz, Raymond",Izzet Prowess,Ghost Vacuum,1,side
19,"Sainz, Raymond",Izzet Prowess,Torch the Tower,1,side
20,"Sainz, Raymond",Izzet Prowess,Spell Pierce,2,side
21,"Sainz, Raymond",Izzet Prowess,Lithomantic Barrage,1,side
22,"Sainz, Raymond",Izzet Prowess,Slickshot Show-Off,1,side
23,"Sainz, Raymond",Izzet Prowess,Sunspine Lynx,2,side
24,"Sainz, Raymond",Izzet Prowess,"Ral, Crackling Wit",2,side
25,"Sainz, Raymond",Izzet Prowess,Drake Hatcher,1,side
26,"Sainz, Raymond",Izzet Prowess,Into the Flood Maw,1,side
27,"Sainz, Raymond",Izzet Prowess,Negate,1,side
28,"Sainz, Raymond",Izzet Prowess,Fiery Annihilation,1,side
0,"Milchman, Jacob",Izzet Prowess,Cori-Steel Cutter,4,main
1,"Milchman, Jacob",Izzet Prowess,Into the Flood Maw,2,main
2,"Milchman, Jacob",Izzet Prowess,Sleight of Hand,4,main
3,"Milchman, Jacob",Izzet Prowess,Island,6,main
4,"Milchman, Jacob",Izzet Prowess,Mountain,3,main
5,"Milchman, Jacob",Izzet Prowess,Burst Lightning,2,main
6,"Milchman, Jacob",Izzet Prowess,Riverpyre Verge,4,main
7,"Milchman, Jacob",Izzet Prowess,Spirebluff Canal,4,main
8,"Milchman, Jacob",Izzet Prowess,Opt,4,main
9,"Milchman, Jacob",Izzet Prowess,Slickshot Show-Off,3,main
10,"Milchman, Jacob",Izzet Prowess,Stormchaser's Talent,4,main
11,"Milchman, Jacob",Izzet Prowess,Torch the Tower,2,main
12,"Milchman, Jacob",Izzet Prowess,Monstrous Rage,4,main
13,"Milchman, Jacob",Izzet Prowess,Stock Up,3,main
14,"Milchman, Jacob",Izzet Prowess,Monastery Swiftspear,4,main
15,"Milchman, Jacob",Izzet Prowess,Drake Hatcher,2,main
16,"Milchman, Jacob",Izzet Prowess,Shivan Reef,4,main
17,"Milchman, Jacob",Izzet Prowess,Spell Pierce,1,main
18,"Milchman, Jacob",Izzet Prowess,Spell Pierce,1,side
19,"Milchman, Jacob",Izzet Prowess,Sunspine Lynx,2,side
20,"Milchman, Jacob",Izzet Prowess,Stock Up,1,side
21,"Milchman, Jacob",Izzet Prowess,Unable to Scream,1,side
22,"Milchman, Jacob",Izzet Prowess,Into the Flood Maw,2,side
23,"Milchman, Jacob",Izzet Prowess,Ghost Vacuum,2,side
24,"Milchman, Jacob",Izzet Prowess,Drake Hatcher,1,side
25,"Milchman, Jacob",Izzet Prowess,"Ral, Crackling Wit",1,side
26,"Milchman, Jacob",Izzet Prowess,Witchstalker Frenzy,1,side
27,"Milchman, Jacob",Izzet Prowess,Eddymurk Crab,1,side
28,"Milchman, Jacob",Izzet Prowess,Torch the Tower,2,side
0,"Neyman, Emmett",Zur Overlords,Analyze the Pollen,2,main
1,"Neyman, Emmett",Zur Overlords,"Beza, the Bounding Spring",2,main
2,"Neyman, Emmett",Zur Overlords,Day of Judgment,1,main
3,"Neyman, Emmett",Zur Overlords,Elspeth's Smite,1,main
4,"Neyman, Emmett",Zur Overlords,Floodfarm Verge,3,main
5,"Neyman, Emmett",Zur Overlords,Forest,1,main
6,"Neyman, Emmett",Zur Overlords,Hedge Maze,3,main
7,"Neyman, Emmett",Zur Overlords,Hushwood Verge,4,main
8,"Neyman, Emmett",Zur Overlords,Island,1,main
9,"Neyman, Emmett",Zur Overlords,Leyline Binding,4,main
10,"Neyman, Emmett",Zur Overlords,Lush Portico,4,main
11,"Neyman, Emmett",Zur Overlords,Overlord of the Hauntwoods,4,main
12,"Neyman, Emmett",Zur Overlords,Overlord of the Mistmoors,4,main
13,"Neyman, Emmett",Zur Overlords,Plains,1,main
14,"Neyman, Emmett",Zur Overlords,Razorverge Thicket,2,main
15,"Neyman, Emmett",Zur Overlords,Ride's End,4,main
16,"Neyman, Emmett",Zur Overlords,Shadowy Backstreet,3,main
17,"Neyman, Emmett",Zur Overlords,Sunfall,1,main
18,"Neyman, Emmett",Zur Overlords,Swamp,1,main
19,"Neyman, Emmett",Zur Overlords,Temporary Lockdown,4,main
20,"Neyman, Emmett",Zur Overlords,Up the Beanstalk,4,main
21,"Neyman, Emmett",Zur Overlords,Wastewood Verge,2,main
22,"Neyman, Emmett",Zur Overlords,"Zur, Eternal Schemer",4,main
23,"Neyman, Emmett",Zur Overlords,"Atraxa, Grand Unifier",1,side
24,"Neyman, Emmett",Zur Overlords,"Elesh Norn, Mother of Machines",1,side
25,"Neyman, Emmett",Zur Overlords,Elspeth's Smite,1,side
